Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon
420,A1,1,79,20.492319,-98.198696
421,A1,1,55,20.521807,-98.253224
422,A1,2,18.5,20.501358,-98.180199
423,A1,1,36,20.534918,-98.228317
424,A1,1,13,20.519844,-98.222812
425,A1,1,4,20.509324,-98.135875
426,A1,2,33,20.488747,-98.126675
427,A1,1,40,20.528002,-98.184764
428,A1,1,3,20.513274,-98.22682
429,A1,1,25,20.500033,-98.13651
430,A1,2,45,20.48563,-98.245744
431,A1,1,4,20.478497,-98.135901
432,A1,1,35,20.516282,-98.23391
433,A1,1,8,20.507501,-98.24224
434,A1,1,29,20.510472,-98.225417
435,A1,1,9,20.514367,-98.239984
436,A1,1,65,20.455224,-98.190025
437,A1,1,39,20.497717,-98.232389
438,A1,2,24,20.46086,-98.221541
439,A1,1,43,20.483464,-98.245502
440,A1,1,29,20.489295,-98.125552
441,A1,1,4,20.438249,-98.159356
442,A1,1,14,20.478153,-98.24353
443,A1,1,2,20.529226,-98.232085
444,A1,1,4,20.462836,-98.160688
445,A1,1,37,20.493699,-98.12487
446,A1,1,7,20.553699,-98.173292
447,A1,1,4,20.479023,-98.254795
448,A1,1,4,20.486313,-98.179977
449,A1,1,80,20.475309,-98.204178
450,A1,1,2,20.488835,-98.232759
451,A1,1,120,20.495565,-98.154019
452,A1,1,43,20.487686,-98.140939
453,A1,1,9,20.48995,-98.126045
454,A1,2,30,20.484509,-98.146928
455,A1,2,17.5,20.488287,-98.134523
456,A1,1,3,20.490812,-98.139912
457,A1,1,2,20.524034,-98.231051
458,A1,1,5,20.498895,-98.230392
459,A1,1,38,20.495083,-98.22645
460,A1,1,3,20.500344,-98.24166
461,A1,1,37,20.539698,-98.22214
462,A1,1,97,20.461873,-98.154257
463,A1,1,2,20.497644,-98.23935
464,A1,1,49,20.49766,-98.2608
465,A1,1,53,20.507473,-98.267506
466,A1,1,55,20.547025,-98.20086
467,A1,1,2,20.5172,-98.255062
468,A1,1,10,20.5277,-98.225408
469,A1,1,52,20.530304,-98.147751
470,A1,1,140,20.437,-98.229764
471,A1,1,2,20.488737,-98.227352
472,A1,1,47,20.548831,-98.197159
473,A1,1,41,20.511122,-98.230436
474,A1,1,2,20.527375,-98.227545
475,A1,1,63,20.509243,-98.141066
476,A1,1,69,20.545034,-98.170715
477,A1,1,32,20.541379,-98.191223
478,A1,1,126,20.462898,-98.235432
479,A1,1,27,20.54158,-98.21175
480,A1,1,31,20.448187,-98.155995
481,A1,1,2,20.499297,-98.26877
482,A1,1,20,20.542552,-98.182287
483,A1,1,35,20.513673,-98.238466
484,A1,1,2,20.542583,-98.206493
485,A1,1,2,20.493729,-98.138731
486,A1,1,72,20.544892,-98.180409
487,A1,1,47,20.513483,-98.220649
488,A1,1,40,20.4949,-98.249013
489,A1,1,84,20.478929,-98.191789
490,A1,1,133,20.451262,-98.224475
491,A1,1,71,20.457676,-98.185665
492,A1,1,24,20.556634,-98.142489
493,A1,1,35,20.503447,-98.24134
494,A1,1,109,20.508406,-98.255775
495,A1,1,48,20.527034,-98.169364
496,A1,1,14,20.556287,-98.20505
497,A1,1,63,20.522963,-98.233813
498,A1,1,2,20.504482,-98.266521
499,A1,1,23,20.52001,-98.174008
500,A1,1,82,20.481817,-98.224411
501,A1,1,60,20.498971,-98.204819
502,A1,1,56,20.508199,-98.239483
503,A1,1,27,20.485184,-98.195951
504,A1,1,2,20.53917,-98.196195
505,A1,1,22,20.483605,-98.243436
506,A1,1,53,20.549619,-98.199152
507,A1,1,30,20.491163,-98.235983
508,A1,1,30,20.465625,-98.172649
509,A1,1,19,20.512032,-98.2125
510,A1,1,2,20.517398,-98.144588
511,A1,1,2,20.485616,-98.193485
512,A1,1,2,20.512937,-98.158709
513,A1,1,2,20.564316,-98.193787
514,A1,2,1,20.505083,-98.165911
515,A1,1,2,20.538308,-98.222621
516,A1,1,2,20.534005,-98.222077
517,A1,1,2,20.540021,-98.215562
518,A1,1,2,20.568664,-98.128785
519,A1,1,2,20.522756,-98.162127
520,A1,1,1,20.468638,-98.191826
521,A1,1,4,20.471549,-98.18019
522,A1,1,2,20.492012,-98.184783
523,A1,1,1,20.568617,-98.186013
524,A1,1,2,20.535244,-98.135659
525,A1,1,1,20.478255,-98.133763
526,A1,1,6,20.471005,-98.176448
527,A1,1,2,20.540049,-98.202524
528,A1,1,4,20.497478,-98.115353
529,A1,1,2,20.462497,-98.16515
530,A1,1,8,20.528548,-98.161908
531,A1,1,1,20.461733,-98.173282
532,A1,1,1,20.460883,-98.173133
533,A1,1,1,20.499753,-98.241383
534,A1,1,2,20.482858,-98.246997
535,A1,1,4,20.453572,-98.165311
536,A1,1,1,20.51598,-98.237033
537,A1,1,2,20.45008,-98.220791
538,A1,1,4,20.557061,-98.125895
539,A1,1,2,20.478658,-98.138692
540,A1,2,13,20.458792,-98.221427
541,A1,1,4,20.510032,-98.131093
542,A1,1,0,20.547658,-98.182322
543,A1,2,2.5,20.448984,-98.159217
544,A1,1,5,20.502177,-98.238743
545,A1,1,1,20.522556,-98.188439
546,A1,1,0,20.516391,-98.196345
547,A1,1,3,20.474939,-98.135609
548,A1,1,4,20.45423,-98.17031
549,A1,1,11,20.520246,-98.217894
550,A1,1,24,20.498583,-98.166007
551,A1,1,1,20.564313,-98.129281
552,A1,1,0,20.522774,-98.200573
553,A1,1,5,20.469632,-98.160321
554,A1,1,4,20.495725,-98.14633
555,A1,1,3,20.475228,-98.218845
556,A1,1,15,20.563143,-98.192924
557,A1,1,6,20.464927,-98.172128
558,A1,1,2,20.530108,-98.129516
559,A1,1,1,20.476798,-98.190918
560,A1,1,2,20.505129,-98.245211
561,A1,1,34,20.535242,-98.200947
562,A1,1,10,20.506997,-98.222423
563,A1,1,1,20.501813,-98.205498
564,A1,1,7,20.457878,-98.229168
565,A1,1,4,20.541674,-98.24149
566,A1,1,22,20.560247,-98.127664
567,A1,2,17.5,20.461446,-98.216405
568,A1,1,55,20.547709,-98.12367
569,A1,1,2,20.568082,-98.124501
570,A1,1,5,20.472531,-98.141009
571,A1,1,7,20.504254,-98.244406
572,A1,1,2,20.446067,-98.1709
573,A1,1,58,20.568978,-98.139954
574,A1,1,15,20.498074,-98.203208
575,A1,2,0.5,20.476396,-98.187489
576,A1,1,83,20.476325,-98.130904
577,A1,1,2,20.448647,-98.148179
578,A1,1,5,20.523794,-98.192381
579,A1,1,0,20.504416,-98.235413
580,A1,1,112,20.471749,-98.193835
581,A1,1,1,20.561674,-98.123256
582,A1,1,0,20.531806,-98.201515
583,A1,2,13.5,20.569233,-98.210453
584,A1,1,6,20.464943,-98.137179
585,A1,1,3,20.478069,-98.193388
586,A1,1,2,20.483675,-98.220507
587,A1,1,21,20.559245,-98.209215
588,A1,1,128,20.489765,-98.142161
589,A1,1,0,20.468723,-98.20291
590,A1,1,1,20.569703,-98.129791
591,A1,1,1,20.527689,-98.187803
592,A1,1,2,20.556388,-98.137688
593,A1,1,4,20.501451,-98.160577
594,A1,1,26,20.531806,-98.139684
595,A1,1,1,20.491514,-98.285647
596,A1,1,15,20.559413,-98.121012
597,A1,1,36,20.4814,-98.188236
598,A1,1,20,20.463428,-98.236382
599,A1,1,9,20.446223,-98.284418
600,A1,1,5,20.492849,-98.153374
601,A1,1,2,20.471726,-98.232468
602,A1,1,26,20.500801,-98.181245
603,A1,1,15,20.546942,-98.139555
604,A1,1,4,20.522021,-98.228825
605,A1,1,2,20.445876,-98.173739
606,A1,2,51,20.466369,-98.221093
607,A1,1,1,20.453098,-98.165369
608,A1,1,10,20.455633,-98.164362
609,A1,1,18,20.572675,-98.129371
610,A1,1,1,20.5075,-98.229329
611,A1,1,0,20.537386,-98.139878
612,A1,1,14,20.537577,-98.142184
613,A1,2,53.5,20.49257,-98.228838
614,A1,1,1,20.53215,-98.241295
615,A1,1,3,20.484133,-98.210477
616,A1,1,4,20.461363,-98.148941
617,A1,1,11,20.55866,-98.133319
618,A1,1,20,20.541174,-98.140552
619,A1,1,1,20.567009,-98.133537
620,A1,1,1,20.558589,-98.212961
621,A1,1,7,20.499043,-98.173779
622,A1,1,4,20.542867,-98.208564
623,A1,1,0,20.479771,-98.190093
624,A1,1,7,20.552221,-98.142504
625,A1,1,15,20.488667,-98.242359
626,A1,1,4,20.561233,-98.134947
627,A1,1,1,20.560391,-98.131741
628,A1,1,1,20.577554,-98.14103
629,A1,1,11,20.468736,-98.253608
630,A1,1,9,20.511956,-98.206182
631,A1,1,49,20.553013,-98.147385
632,A1,1,2,20.449731,-98.169118
633,A1,1,12,20.545009,-98.149439
634,A1,1,39,20.52476,-98.219829
635,A1,1,4,20.530754,-98.141205
636,A1,1,2,20.4467,-98.167767
637,A1,1,3,20.478939,-98.169574
638,A1,1,32,20.507559,-98.239249
639,A1,1,69,20.538962,-98.167497
640,A1,1,28,20.510563,-98.205613
641,A1,1,1,20.508649,-98.219569
642,A1,1,3,20.530464,-98.193067
643,A1,2,30.5,20.461064,-98.175968
644,A1,1,3,20.515329,-98.213401
645,A1,1,13,20.543198,-98.207021
646,A1,1,3,20.478563,-98.161705
647,A1,1,39,20.470409,-98.134834
648,A1,1,3,20.538168,-98.229266
649,A1,1,1,20.482438,-98.160995
650,A1,1,5,20.523223,-98.273269
651,A1,2,18.5,20.48504,-98.189744
652,A1,1,15,20.516361,-98.19584
653,A1,1,24,20.481656,-98.134919
654,A1,1,7,20.50831,-98.196753
655,A1,1,67,20.468003,-98.211599
656,A1,1,4,20.472438,-98.171778
657,A1,1,14,20.530131,-98.232112
658,A1,1,1,20.538589,-98.242587
659,A1,1,1,20.494495,-98.25571
660,A1,1,3,20.547584,-98.123498
661,A1,1,38,20.528892,-98.213565
662,A1,1,1,20.521479,-98.145411
663,A1,1,11,20.536707,-98.133488
664,A1,1,3,20.509968,-98.223935
665,A1,1,87,20.551264,-98.227237
666,A1,1,2,20.558513,-98.221133
667,A1,1,55,20.513554,-98.229314
668,A1,1,29,20.4556,-98.21751
669,A1,1,46,20.551794,-98.123398
670,A1,1,25,20.50912,-98.195769
671,A1,1,78,20.471764,-98.190457
672,A1,1,4,20.479129,-98.185584
673,A1,1,5,20.521817,-98.145559
674,A1,1,141,20.56204,-98.189037
675,A1,1,20,20.445779,-98.166214
676,A1,2,24.5,20.474629,-98.182317
677,A1,1,42,20.506402,-98.234898
678,A1,1,7,20.525418,-98.136296
679,A1,1,31,20.54416,-98.122375
680,A1,1,117,20.5345,-98.1462
681,A1,1,2,20.53546,-98.19184
682,A1,1,12,20.497359,-98.156435
