Instance_number,Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Cluster
32,0.00883,A1,0.5,0.062857,0.266245,-98.155563,cluster2
33,0.009106,A1,0,0.142857,0.339992,-98.224957,cluster2
34,0.009382,A1,0.5,0.094286,0.2738,-98.1758,cluster2
35,0.009658,A1,0.5,0.128571,0.690227,-98.195613,cluster5
36,0.009934,A1,0.5,0.105714,0.156346,-98.161783,cluster2
37,0.01021,A1,0.5,0.062857,0.648604,-98.190225,cluster5
38,0.010486,A1,0.5,0.131429,0.220028,-98.147779,cluster2
39,0.010762,A1,0.5,0.088571,0.164882,-98.180356,cluster2
40,0.011038,A1,0.5,0.074286,0.507131,-98.208586,cluster2
41,0.011313,A1,0.5,0.06,0.569265,-98.173938,cluster5
42,0.011589,A1,0.5,0.068571,0.335017,-98.117522,cluster2
43,0.011865,A1,0.5,0.068571,0.528698,-98.15602,cluster2
44,0.012141,A1,0,0.16,0.384876,-98.127486,cluster2
45,0.012417,A1,1,0.053333,0.560435,-98.186759,cluster5
46,0.012693,A1,0.5,0.085714,0.218343,-98.192298,cluster2
47,0.012969,A1,0.5,0.02,0.34514,-98.228006,cluster2
48,0.013245,A1,0.5,0.105714,0.3536,-98.235611,cluster2
49,0.013521,A1,0.5,0.06,0.468024,-98.212081,cluster2
50,0.013797,A1,0,0.131429,0.086928,-98.2166,cluster2
51,0.014073,A1,0.5,0.082857,0.481332,-98.223294,cluster2
52,0.014349,A1,0.5,0.245714,0.394866,-98.144774,cluster2
53,0.014625,A1,0.5,0.048571,0.821947,-98.185753,cluster5
54,0.014901,A1,0.5,0.06,0.609873,-98.187598,cluster5
55,0.015177,A1,1,0.104762,0.136845,-98.170414,cluster2
56,0.015453,A1,1,0.12381,0.351482,-98.18733,cluster2
57,0.015728,A1,1,0.081905,0.259643,-98.178043,cluster2
58,0.016004,A1,0.5,0.028571,0.571366,-98.204665,cluster5
59,0.01628,A1,0.5,0.022857,0.544725,-98.204617,cluster5
60,0.016556,A1,0.5,0.057143,0.418552,-98.222328,cluster2
61,0.016832,A1,0.5,0.128571,0.158043,-98.149805,cluster2
62,0.017108,A1,0,0.205714,0.086155,-98.216872,cluster2
63,0.017384,A1,0.5,0.042857,0.309784,-98.157698,cluster2
64,0.01766,A1,1,0.097143,0.267999,-98.145925,cluster2
65,0.017936,A1,0.5,0.051429,0.655461,-98.179069,cluster5
66,0.018212,A1,0.5,0.025714,0.562576,-98.182858,cluster5
67,0.018488,A1,0.5,0.085714,0.463124,-98.199704,cluster2
68,0.018764,A1,0.5,0.08,0.517611,-98.174792,cluster2
69,0.01904,A1,0.5,0.037143,0.525841,-98.177082,cluster5
70,0.019316,A1,0.5,0.202857,0.485038,-98.124314,cluster2
71,0.019592,A1,0.5,0.082857,0.424756,-98.169386,cluster2
72,0.019868,A1,0.5,0.12,0.533131,-98.227856,cluster2
73,0.020143,A1,0.5,0.082857,0.245347,-98.211909,cluster2
74,0.020419,A1,0.5,0.054286,0.332379,-98.230754,cluster2
75,0.020695,A1,0.5,0.174286,0.291651,-98.19912,cluster2
76,0.020971,A1,0.5,0.111429,0.114435,-98.179994,cluster2
77,0.021247,A1,0.5,0.054286,0.556141,-98.2046,cluster5
78,0.021523,A1,0.5,0.054286,0.510547,-98.2306,cluster2
79,0.021799,A1,0.5,0.077143,0.396176,-98.161735,cluster2
80,0.022075,A1,0,0.177143,0.399344,-98.173212,cluster2
81,0.022351,A1,0.5,0.085714,0.078808,-98.211302,cluster2
82,0.022627,A1,0.5,0.031429,0.260647,-98.2382,cluster2
83,0.022903,A1,0.5,0.097143,0.494872,-98.144438,cluster2
84,0.023179,A1,0,0.017143,0.19947,-98.2186,cluster2
85,0.023455,A1,0.5,0.128571,0.330001,-98.149391,cluster2
86,0.023731,A1,0.5,0.102857,0.237809,-98.168691,cluster2
87,0.024007,A1,0,0.085714,0.358956,-98.232715,cluster2
88,0.024283,A1,0.5,0.074286,0.170325,-98.230342,cluster2
89,0.024558,A1,0.5,0.088571,0.279081,-98.15303,cluster2
90,0.024834,A1,0.5,0.145714,0.204174,-98.186302,cluster2
91,0.02511,A1,0.5,0.048571,0.534458,-98.191137,cluster5
92,0.025386,A1,0.5,0.1,0.225603,-98.233201,cluster2
93,0.025662,A1,0.5,0.051429,0.347414,-98.217019,cluster2
94,0.025938,A1,0.5,0.06,0.586412,-98.18587,cluster5
95,0.026214,A1,0.5,0.105714,0.222261,-98.18943,cluster2
96,0.02649,A1,0.5,0.197143,0.226053,-98.208561,cluster2
97,0.026766,A1,0,0.12,0.288978,-98.246224,cluster2
98,0.027042,A1,0.5,0.045714,0.535976,-98.17441,cluster5
99,0.027318,A1,0.5,0.122857,0.402796,-98.141064,cluster2
100,0.027594,A1,0.5,0.042857,0.246795,-98.1815,cluster2
101,0.02787,A1,1,0.057143,0.50997,-98.18371,cluster2
102,0.028146,A1,0.5,0.117143,0.230861,-98.153927,cluster2
103,0.028422,A1,0.5,0.108571,0.498976,-98.229581,cluster2
104,0.028698,A1,0.5,0.068571,0.537107,-98.217267,cluster2
105,0.028974,A1,0.5,0.125714,0.261888,-98.279344,cluster2
106,0.029249,A1,0,0.16,0.761146,-98.133002,cluster5
107,0.029525,A1,0.5,0.074286,0.296804,-98.129685,cluster2
108,0.029801,A1,0.5,0.065714,0.290381,-98.192131,cluster2
109,0.030077,A1,1,0.104762,0.292984,-98.188667,cluster2
110,0.030353,A1,1,0.08,0.155244,-98.177861,cluster2
111,0.030629,A1,0,0.022857,0.494676,-98.259616,cluster2
112,0.030905,A1,0,0.045714,0.562288,-98.203786,cluster5
113,0.031181,A1,1,0.051429,0.505422,-98.185379,cluster2
114,0.031457,A1,0.5,0.128571,0.672763,-98.137348,cluster5
115,0.031733,A1,0.5,0.062857,0.173436,-98.238769,cluster2
116,0.032009,A1,0.5,0.222857,0.204486,-98.19979,cluster2
117,0.032285,A1,0.5,0.074286,0.584074,-98.199864,cluster5
118,0.032561,A1,0.5,0.205714,0.316214,-98.202713,cluster2
119,0.032837,A1,1,0.045714,0.247979,-98.206183,cluster2
120,0.033113,A1,0,0.005714,0.512567,-98.213734,cluster5
121,0.033389,A1,0.5,0.162857,0.520197,-98.157348,cluster2
122,0.033664,A1,0,0.142857,0.257605,-98.16073,cluster2
123,0.03394,A1,0.5,0.077143,0.624601,-98.178655,cluster5
124,0.034216,A1,0.5,0.142857,0.346946,-98.131315,cluster2
125,0.034492,A1,0.5,0.14,0.342277,-98.226674,cluster2
126,0.034768,A1,0.5,0.102857,0.199938,-98.175219,cluster2
127,0.035044,A1,0,0.131429,0.398975,-98.147131,cluster2
128,0.03532,A1,0,0.034286,0.610196,-98.184941,cluster5
129,0.035596,A1,0.5,0.068571,0.530285,-98.213034,cluster2
130,0.035872,A1,0.5,0.06,0.187685,-98.21856,cluster2
131,0.036148,A1,0.5,0.028571,0.659449,-98.202245,cluster5
132,0.036424,A1,0.5,0.165714,0.317824,-98.139182,cluster2
133,0.0367,A1,0.5,0.1,0.157201,-98.226731,cluster2
134,0.036976,A1,0.5,0.091429,0.274683,-98.236812,cluster2
135,0.037252,A1,0.5,0.042857,0.326648,-98.24289,cluster2
136,0.037528,A1,0.5,0.065714,0.597458,-98.199734,cluster5
137,0.037804,A1,1,0.148571,0.229978,-98.194088,cluster2
138,0.038079,A1,0.5,0.062857,0.242467,-98.236394,cluster2
139,0.038355,A1,0.5,0.091429,0.268507,-98.15631,cluster2
140,0.038631,A1,0.5,0.094286,0.703888,-98.1445,cluster5
141,0.038907,A1,1,0.104762,0.386913,-98.218762,cluster2
142,0.039183,A1,0,0.045714,0.553255,-98.2139,cluster5
143,0.039459,A1,0.5,0.051429,0.589528,-98.150875,cluster5
144,0.039735,A1,0.5,0.082857,0.173857,-98.195285,cluster2
145,0.040011,A1,0.5,0.097143,0.260733,-98.177162,cluster2
146,0.040287,A1,0.5,0.068571,0.320352,-98.23819,cluster2
147,0.040563,A1,0.5,0.062857,0.406449,-98.215231,cluster2
148,0.040839,A1,0.5,0.117143,0.370511,-98.181788,cluster2
149,0.041115,A1,0.5,0.1,0.236465,-98.222711,cluster2
150,0.041391,A1,0.5,0.077143,0.526707,-98.1951,cluster2
151,0.041667,A1,0.5,0.057143,0.678315,-98.192705,cluster5
152,0.041943,A1,0.5,0.074286,0.226965,-98.227089,cluster2
153,0.042219,A1,0.5,0.065714,0.276691,-98.124189,cluster2
154,0.042494,A1,0.5,0.045714,0.622419,-98.194375,cluster5
155,0.04277,A1,0.5,0.054286,0.294952,-98.251624,cluster2
156,0.043046,A1,0.5,0.097143,0.268854,-98.172185,cluster2
157,0.043322,A1,0.5,0.18,0.480461,-98.161252,cluster2
158,0.043598,A1,0.5,0.042857,0.176367,-98.213555,cluster2
159,0.043874,A1,0.5,0.145714,0.153299,-98.1946,cluster2
160,0.04415,A1,0.5,0.08,0.292857,-98.138398,cluster2
161,0.044426,A1,0.5,0.074286,0.349849,-98.142581,cluster2
162,0.044702,A1,1,0.072381,0.167364,-98.134131,cluster2
163,0.044978,A1,1,0.060952,0.625201,-98.171084,cluster5
164,0.045254,A1,0,0.097143,0.670876,-98.182608,cluster5
165,0.04553,A1,0.5,0.177143,0.564954,-98.163884,cluster5
166,0.045806,A1,1,0.08381,0.284581,-98.155219,cluster2
167,0.046082,A1,0.5,0.051429,0.555852,-98.189668,cluster5
168,0.046358,A1,0.5,0.077143,0.308145,-98.242866,cluster2
169,0.046634,A1,0.5,0.111429,0.207469,-98.259796,cluster2
170,0.046909,A1,1,0.087619,0.192383,-98.176532,cluster2
171,0.047185,A1,0,0.142857,0.578049,-98.111442,cluster5
172,0.047461,A1,1,0.051429,0.309074,-98.181538,cluster2
173,0.047737,A1,0.5,0.105714,0.158661,-98.240426,cluster2
174,0.048013,A1,0,0.102857,0.648102,-98.20143,cluster5
175,0.048289,A1,1,0.100952,0.288551,-98.158633,cluster2
176,0.048565,A1,0.5,0.082857,0.645488,-98.177417,cluster5
177,0.048841,A1,0,0.165714,0.218585,-98.238705,cluster2
178,0.049117,A1,1,0.087619,0.240886,-98.237931,cluster2
179,0.049393,A1,0.5,0.148571,0.386347,-98.157691,cluster2
180,0.049669,A1,0.5,0.062857,0.462674,-98.215453,cluster2
181,0.049945,A1,1,0.074286,0.518881,-98.199106,cluster2
182,0.050221,A1,0.5,0.171429,0.132759,-98.151099,cluster2
183,0.050497,A1,0.5,0.054286,0.592264,-98.182545,cluster5
184,0.050773,A1,0,0.102857,0.281851,-98.142607,cluster2
185,0.051049,A1,0.5,0.111429,0.423994,-98.188533,cluster2
186,0.051325,A1,0.5,0.125714,0.606554,-98.202383,cluster5
187,0.0516,A1,0.5,0.068571,0.39007,-98.23217,cluster2
188,0.051876,A1,0.5,0.108571,0.571285,-98.196457,cluster5
189,0.052152,A1,0.5,0.091429,0.333943,-98.1868,cluster2
190,0.052428,A1,1,0.100952,0.213974,-98.208568,cluster2
191,0.052704,A1,0.5,0.037143,0.215191,-98.226688,cluster2
192,0.05298,A1,0.5,0.168571,0.440044,-98.141649,cluster2
193,0.053256,A1,1,0.03619,0.186006,-98.146274,cluster2
194,0.053532,A1,0.5,0.134286,0.167681,-98.161028,cluster2
195,0.053808,A1,0.5,0.068571,0.547484,-98.2314,cluster5
196,0.054084,A1,0.5,0.037143,0.251972,-98.190977,cluster2
197,0.05436,A1,0.5,0.065714,0.329147,-98.138465,cluster2
198,0.054636,A1,0.5,0.074286,0.375947,-98.160615,cluster2
199,0.054912,A1,0.5,0.237143,0.167024,-98.146695,cluster2
200,0.055188,A1,0,0,0.357537,-98.259924,cluster2
201,0.055464,A1,0.5,0.1,0.53122,-98.228124,cluster2
202,0.05574,A1,0.5,0.051429,0.631902,-98.223645,cluster5
203,0.056015,A1,0,0.074286,0.622189,-98.192011,cluster5
204,0.056291,A1,0.5,0.068571,0.344487,-98.254899,cluster2
205,0.056567,A1,0.5,0.08,0.562218,-98.114173,cluster5
206,0.056843,A1,0.5,0.134286,0.34383,-98.168092,cluster2
207,0.057119,A1,0.5,0.174286,0.126901,-98.170368,cluster2
208,0.057395,A1,0.5,0.108571,0.138242,-98.212984,cluster2
209,0.057671,A1,0.5,0.157143,0.26333,-98.210798,cluster2
210,0.057947,A1,0.5,0.125714,0.273609,-98.158314,cluster2
211,0.058223,A1,0.5,0.06,0.520468,-98.238348,cluster2
212,0.058499,A1,0,0.148571,0.376213,-98.132374,cluster2
213,0.058775,A1,0.5,0.065714,0.219826,-98.216602,cluster2
214,0.059051,A1,0,0.137143,0.397353,-98.232414,cluster2
215,0.059327,A1,0,0.302857,0.589459,-98.165541,cluster5
216,0.059603,A1,0,0.034286,0.530187,-98.199759,cluster5
217,0.059879,A1,0.5,0.068571,0.51749,-98.216829,cluster2
218,0.060155,A1,0.5,0.06,0.608187,-98.186565,cluster5
219,0.06043,A1,0,0.028571,0.054366,-98.23025,cluster2
220,0.060706,A1,0.5,0.125714,0.233019,-98.256243,cluster2
221,0.060982,A1,1,0.08381,0.238825,-98.176469,cluster2
222,0.061258,A1,0.5,0.042857,0.413767,-98.157778,cluster2
223,0.061534,A1,0.5,0.202857,0.51083,-98.145043,cluster2
224,0.06181,A1,0,0.097143,0.41966,-98.230363,cluster2
225,0.062086,A1,0.5,0.042857,0.197716,-98.240958,cluster2
226,0.062362,A1,0,0.154286,0.202581,-98.241015,cluster2
227,0.062638,A1,0.5,0.042857,0.694666,-98.201212,cluster5
228,0.062914,A1,0.5,0.054286,0.230763,-98.167216,cluster2
229,0.06319,A1,0.5,0.148571,0.301346,-98.175219,cluster2
230,0.063466,A1,0.5,0.097143,0.319809,-98.136738,cluster2
231,0.063742,A1,0.5,0.082857,0.511586,-98.184811,cluster2
232,0.064018,A1,0.5,0.125714,0.412405,-98.164682,cluster2
233,0.064294,A1,0.5,0.12,0.494797,-98.146915,cluster2
234,0.06457,A1,0.5,0.071429,0.152982,-98.215923,cluster2
235,0.064845,A1,0.5,0.088571,0.362258,-98.25133,cluster2
236,0.065121,A1,0.5,0.117143,0.288476,-98.206368,cluster2
237,0.065397,A1,0.5,0.134286,0.326712,-98.204934,cluster2
238,0.065673,A1,0.5,0.12,0.213599,-98.241901,cluster2
239,0.065949,A1,0.5,0.062857,0.277147,-98.240524,cluster2
240,0.066225,A1,0.5,0.114286,0.24866,-98.179653,cluster2
241,0.066501,A1,0,0.24,0.270331,-98.251538,cluster2
242,0.066777,A1,0,0.097143,0.209437,-98.167084,cluster2
243,0.067053,A1,0,0.017143,0.254004,-98.147094,cluster2
244,0.067329,A1,0,0.034286,0.582539,-98.221491,cluster5
245,0.067605,A1,0,0.011429,0.296262,-98.249693,cluster2
246,0.067881,A1,0,0.165714,0.451691,-98.156207,cluster2
247,0.068157,A1,0,0.325714,0.421247,-98.115295,cluster2
248,0.068433,A1,0,0.045714,0.203222,-98.160619,cluster2
249,0.068709,A1,0,0.377143,0.585563,-98.172849,cluster5
250,0.068985,A1,0,0.034286,0.093075,-98.180464,cluster2
251,0.06926,A1,0,0.011429,0.572064,-98.145739,cluster5
252,0.069536,A1,0,0.08,0.334076,-98.230725,cluster2
253,0.069812,A1,0.5,0.005714,0.081884,-98.192193,cluster2
254,0.070088,A1,0,0.131429,0.363527,-98.209776,cluster2
255,0.070364,A1,0,0.114286,0.312277,-98.207543,cluster2
256,0.07064,A1,0,0.154286,0.627239,-98.116523,cluster5
257,0.070916,A1,0.5,0.16,0.501971,-98.234268,cluster2
258,0.071192,A1,0,0.017143,0.622679,-98.176835,cluster5
259,0.071468,A1,0,0.234286,0.387519,-98.217942,cluster2
260,0.071744,A1,0,0.085714,0.36478,-98.176756,cluster2
261,0.07202,A1,0,0.022857,0.686741,-98.199161,cluster5
262,0.072296,A1,0,0.011429,0.253259,-98.245175,cluster2
263,0.072572,A1,0,0.148571,0.642285,-98.160166,cluster5
264,0.072848,A1,0,0.074286,0.361375,-98.169281,cluster2
265,0.073124,A1,0,0.017143,0.401162,-98.254895,cluster2
266,0.0734,A1,0,0.04,0.293647,-98.172226,cluster2
267,0.073675,A1,0,0.017143,0.018578,-98.145764,cluster2
268,0.073951,A1,0,0.017143,0.144417,-98.171306,cluster2
269,0.074227,A1,0.5,0.008571,0.529535,-98.232656,cluster5
270,0.074503,A1,0,0.017143,0.296291,-98.126957,cluster2
271,0.074779,A1,0,0.022857,0.591693,-98.198954,cluster5
272,0.075055,A1,0,0.274286,0.279161,-98.170687,cluster2
273,0.075331,A1,0,0.034286,0.508798,-98.238487,cluster2
274,0.075607,A1,0,0.011429,0.302247,-98.259557,cluster2
275,0.075883,A1,0,0.12,0.728353,-98.12138,cluster5
276,0.076159,A1,0,0.022857,1,-98.178299,cluster5
277,0.076435,A1,0,0.028571,0.333245,-98.135988,cluster2
278,0.076711,A1,0,0.154286,0.635226,-98.217644,cluster5
279,0.076987,A1,0,0.04,0.269084,-98.132009,cluster2
280,0.077263,A1,0,0.04,0.287645,-98.24966,cluster2
281,0.077539,A1,0,0.017143,0.23344,-98.236836,cluster2
282,0.077815,A1,0,0.028571,0.213714,-98.189683,cluster2
283,0.078091,A1,0.5,0.171429,0.496546,-98.226608,cluster2
284,0.078366,A1,0,0.022857,0.570402,-98.225585,cluster5
285,0.078642,A1,0,0.011429,0.254044,-98.186538,cluster2
286,0.078918,A1,0,0.171429,0.244464,-98.14318,cluster2
287,0.079194,A1,0,0.08,0.712153,-98.131666,cluster5
288,0.07947,A1,0,0.085714,0.706237,-98.144836,cluster5
289,0.079746,A1,0,0.262857,0.332096,-98.132138,cluster2
290,0.080022,A1,0,0.268571,0.313322,-98.161687,cluster2
291,0.080298,A1,0,0.017143,0.644934,-98.206027,cluster5
292,0.080574,A1,0,0.028571,0.299817,-98.218595,cluster2
293,0.08085,A1,0,0.057143,0.053818,-98.220971,cluster2
294,0.081126,A1,0,0.04,0.320733,-98.16256,cluster2
295,0.081402,A1,0,0.137143,0.548102,-98.15869,cluster2
296,0.081678,A1,0,0.068571,0.471042,-98.229443,cluster2
297,0.081954,A1,0,0.16,0.135887,-98.179878,cluster2
298,0.08223,A1,0,0.32,0.300146,-98.138475,cluster2
299,0.082506,A1,0,0.08,0.298819,-98.124849,cluster2
300,0.082781,A1,0,0.2,0.530533,-98.219813,cluster2
301,0.083057,A1,0,0.022857,0.404735,-98.204749,cluster2
302,0.083333,A1,0.5,0.231429,0.49336,-98.233359,cluster2
303,0.083609,A1,0,0.017143,0.223583,-98.232413,cluster2
304,0.083885,A1,0,0.085714,0.478591,-98.229813,cluster2
305,0.084161,A1,0,0.177143,0.409202,-98.236915,cluster2
306,0.084437,A1,0,0.12,0.175894,-98.221186,cluster2
307,0.084713,A1,0,0.005714,0.274787,-98.152673,cluster2
308,0.084989,A1,0,0.085714,0.11818,-98.216186,cluster2
309,0.085265,A1,0,0.068571,0.251701,-98.156673,cluster2
310,0.085541,A1,0,0.068571,0.349814,-98.153673,cluster2
311,0.085817,A1,0,0.022857,0.556787,-98.229192,cluster5
312,0.086093,A1,0,0.011429,0.701557,-98.211056,cluster5
313,0.086369,A1,0,0.017143,0.635919,-98.207754,cluster5
314,0.086645,A1,0,0.028571,0.282041,-98.142053,cluster2
315,0.086921,A1,0,0.125714,0.304804,-98.156746,cluster2
316,0.087196,A1,0,0.137143,0.160375,-98.180461,cluster2
317,0.087472,A1,0,0.022857,0.48169,-98.257399,cluster2
318,0.087748,A1,0,0.085714,0.728168,-98.212554,cluster5
319,0.088024,A1,0,0.04,0.78336,-98.223113,cluster5
320,0.0883,A1,0,0.108571,0.691976,-98.214016,cluster5
321,0.088576,A1,0,0.028571,0.637298,-98.203068,cluster5
322,0.088852,A1,0,0.234286,0.670714,-98.184633,cluster5
323,0.089128,A1,0,0.028571,0.618189,-98.188733,cluster5
324,0.089404,A1,0,0.28,0.695756,-98.199444,cluster5
325,0.08968,A1,0,0.028571,0.666709,-98.197433,cluster5
326,0.089956,A1,0,0.011429,0.402415,-98.167592,cluster2
327,0.090232,A1,0,0.068571,0.426516,-98.237915,cluster2
328,0.090508,A1,0,0.097143,0.694654,-98.212024,cluster5
329,0.090784,A1,0,0.102857,0.644068,-98.203783,cluster5
330,0.09106,A1,0,0.177143,0.159036,-98.221975,cluster2
331,0.091336,A1,0,0.182857,0.65886,-98.20857,cluster5
332,0.091611,A1,0.5,0.08,0.737345,-98.135268,cluster5
333,0.091887,A1,0,0.182857,0.441291,-98.151,cluster2
334,0.092163,A1,0,0.148571,0.138461,-98.279071,cluster2
335,0.092439,A1,0,0.034286,0.537067,-98.21499,cluster5
336,0.092715,A1,0,0.085714,0.077077,-98.16353,cluster2
337,0.092991,A1,0,0.114286,0.425633,-98.108122,cluster2
338,0.093267,A1,0,0.125714,0.213899,-98.1978,cluster2
339,0.093543,A1,0,0.354286,0.053258,-98.285115,cluster2
340,0.093819,A1,0,0.194286,0.288926,-98.1504,cluster2
341,0.094095,A1,0,0.251429,0.806353,-98.18632,cluster5
342,0.094371,A1,0,0.394286,0.076736,-98.213647,cluster2
343,0.094647,A1,0,0.228571,0.59695,-98.229586,cluster5
344,0.094923,A1,0,0.171429,0.619355,-98.244445,cluster5
345,0.095199,A1,0,0.617143,0.388575,-98.246438,cluster2
346,0.095475,A1,0,0.245714,0.417582,-98.201017,cluster2
347,0.095751,A1,0,0.068571,0.388725,-98.194017,cluster2
348,0.096026,A1,0,0.102857,0.124009,-98.146253,cluster2
349,0.096302,A1,0,0.062857,0.316277,-98.202015,cluster2
350,0.096578,A1,0,0.114286,0.677184,-98.147223,cluster5
351,0.096854,A1,0,0.16,0.249479,-98.22267,cluster2
352,0.09713,A1,0,0.068571,0.614253,-98.224333,cluster5
353,0.097406,A1,0,0.125714,0.337152,-98.191127,cluster2
354,0.097682,A1,0.5,0.082857,0.662363,-98.155257,cluster5
355,0.097958,A1,0,0.268571,0.473772,-98.183256,cluster2
356,0.098234,A1,0,0.308571,0.280292,-98.236633,cluster2
357,0.09851,A1,0,0.091429,0.23168,-98.154433,cluster2
358,0.098786,A1,0,0.2,0.353214,-98.23027,cluster2
359,0.099062,A1,0,0.028571,0.181204,-98.172992,cluster2
360,0.099338,A1,0,0.085714,0.166308,-98.170305,cluster2
361,0.099614,A1,0,0.148571,0.313287,-98.189911,cluster2
362,0.09989,A1,0,0.051429,0.06468,-98.223469,cluster2
363,0.100166,A1,0,0.091429,0.524508,-98.269833,cluster2
364,0.100442,A1,0,0.074286,0.172853,-98.249688,cluster2
365,0.100717,A1,0,0.131429,0.398127,-98.134973,cluster2
366,0.100993,A1,0,0.011429,0.599773,-98.225699,cluster5
367,0.101269,A1,0,0.382857,0.313922,-98.265608,cluster2
368,0.101545,A1,0,0.4,0.214551,-98.160235,cluster2
369,0.101821,A1,0,0.417143,0.356463,-98.23766,cluster2
370,0.102097,A1,0,0.051429,0.389718,-98.181605,cluster2
371,0.102373,A1,0,0.051429,0.332708,-98.137022,cluster2
372,0.102649,A1,0,0.137143,0.676722,-98.205147,cluster5
373,0.102925,A1,0,0.114286,0.464116,-98.134143,cluster2
374,0.103201,A1,0,0.194286,0.087771,-98.172769,cluster2
375,0.103477,A1,0,0.051429,0.162077,-98.256313,cluster2
376,0.103753,A1,0,0.068571,0.108277,-98.264035,cluster2
377,0.104029,A1,0,0.165714,0.390601,-98.240577,cluster2
378,0.104305,A1,0,0.125714,0.670206,-98.1367,cluster5
379,0.104581,A1,0,0.062857,0.308463,-98.154869,cluster2
380,0.104857,A1,0.5,0.32,0.450508,-98.176797,cluster2
381,0.105132,A1,0,0.291429,0.092723,-98.169372,cluster2
382,0.105408,A1,0,0.074286,0.334624,-98.125232,cluster2
383,0.105684,A1,0,0.165714,0.253698,-98.168345,cluster2
384,0.10596,A1,0,0.24,0.20508,-98.13892,cluster2
385,0.106236,A1,0,0.091429,0.448695,-98.242682,cluster2
386,0.106512,A1,0,0.022857,0.083033,-98.228003,cluster2
387,0.106788,A1,0,0.577143,0.189174,-98.185374,cluster2
388,0.107064,A1,0.5,0.062857,0.089462,-98.209192,cluster2
389,0.10734,A1,0,0.102857,0.414621,-98.249588,cluster2
390,0.107616,A1,0,0.017143,0.377488,-98.151589,cluster2
391,0.107892,A1,0,0.217143,0.545118,-98.235638,cluster2
392,0.108168,A1,0.5,0.205714,0.143101,-98.15598,cluster2
393,0.108444,A1,0,0.137143,0.573588,-98.235808,cluster5
394,0.10872,A1,0,0.051429,0.495882,-98.224556,cluster2
395,0.108996,A1,0.5,0.208571,0.390018,-98.138343,cluster2
396,0.109272,A1,0.5,0.262857,0.147222,-98.245669,cluster2
397,0.109547,A1,0.5,0.111429,0.293451,-98.15223,cluster2
398,0.109823,A1,0,0.937143,0.548581,-98.132901,cluster2
399,0.110099,A1,0,0.217143,0.670599,-98.175937,cluster5
400,0.110375,A1,0,0.234286,0.069256,-98.169557,cluster2
401,0.110651,A1,0,0.017143,0.494964,-98.22683,cluster2
402,0.110927,A1,0,0.222857,0.340321,-98.25067,cluster2
403,0.111203,A1,0,0.108571,0.27388,-98.15975,cluster2
404,0.111479,A1,0,0.165714,0.58135,-98.22482,cluster5
405,0.111755,A1,0,0.017143,0.262361,-98.128278,cluster2
406,0.112031,A1,0,0.211429,0.279571,-98.240267,cluster2
407,0.112307,A1,0,0.08,0.345307,-98.20421,cluster2
408,0.112583,A1,0,0.154286,0.517559,-98.232961,cluster2
409,0.112859,A1,0,0.291429,0.242755,-98.1707,cluster2
410,0.113135,A1,0,0.531429,0.440991,-98.197758,cluster2
411,0.113411,A1,0,0.074286,0.375295,-98.125787,cluster2
